issue_date	mutual_fund_name	name_of_issuer	cusip	number_of_shares
2012-02-02	ADVANCE_CAPITAL_I_INC	ISHARES MORNINGSTAR MID GROWTH	 464288307 	41,700
2012-02-02	ADVANCE_CAPITAL_I_INC	ISHARES S&P MIDCAP 400 GROWTH	 464287606 	47,600
2012-02-02	ADVANCE_CAPITAL_I_INC	BED BATH & BEYOND	 075896100 	15,000
2012-02-02	ADVANCE_CAPITAL_I_INC	CARBO CERAMICS INC	 140781105 	7,700
2012-02-02	ADVANCE_CAPITAL_I_INC	CATALYST HEALTH SOLUTIONS IN	 14888B103 	25,250
2012-02-02	ADVANCE_CAPITAL_I_INC	CERNER CORP	 156782104 	7,900
2012-02-02	ADVANCE_CAPITAL_I_INC	CHIPOTLE MEXICAN GRILL INC	 169656105 	1,050
2012-02-02	ADVANCE_CAPITAL_I_INC	CHURCH & DWIGHT CO.	 171340102 	26,600
2012-02-02	ADVANCE_CAPITAL_I_INC	CLIFFS NATURAL	 18683K101 	10,400
2012-02-02	ADVANCE_CAPITAL_I_INC	COINSTAR INC	 19259P300 	6,300
2012-02-02	ADVANCE_CAPITAL_I_INC	DOLLAR TREE	 256746108 	19,550
2012-02-02	ADVANCE_CAPITAL_I_INC	EDWARDS LIFESCIENCES CORP	 28176E108 	14,150
2012-02-02	ADVANCE_CAPITAL_I_INC	ENDO PHARMACEUT HLDGS INC	 29264F205 	46,200
2012-02-02	ADVANCE_CAPITAL_I_INC	EZCORP INC-CL A	 302301106 	19,600
2012-02-02	ADVANCE_CAPITAL_I_INC	F5 NETWORKS INC	 315616102 	8,200
2012-02-02	ADVANCE_CAPITAL_I_INC	FASTENAL CO	 311900104 	10,650
2012-02-02	ADVANCE_CAPITAL_I_INC	FIRST CASH FINL SVCS INC	 31942D107 	20,000
2012-02-02	ADVANCE_CAPITAL_I_INC	INFORMATICA CORP	 45666Q102 	25,700
2012-02-02	ADVANCE_CAPITAL_I_INC	J2 GLOBAL COMMUNICATIONS	 48123V102 	31,100
2012-02-02	ADVANCE_CAPITAL_I_INC	JOY GLOBAL INC	 481165108 	7,900
2012-02-02	ADVANCE_CAPITAL_I_INC	MYLAN INC	 628530107 	39,500
2012-02-02	ADVANCE_CAPITAL_I_INC	NXP SEMICONDUCTOR	 053329578 	18,800
2012-02-02	ADVANCE_CAPITAL_I_INC	PERRIGO CO	 714290103 	18,800
2012-02-02	ADVANCE_CAPITAL_I_INC	PPG INDUSTRIES	 693506107 	17,300
2012-02-02	ADVANCE_CAPITAL_I_INC	SOLERA HOLDINGS	 83421A104 	20,750
2012-02-02	ADVANCE_CAPITAL_I_INC	TERADATA CORP	 88076W103 	12,000
2012-02-02	ADVANCE_CAPITAL_I_INC	TRACTOR SUPPLY	 892356106 	16,300
2012-02-02	ADVANCE_CAPITAL_I_INC	TUPPERWARE BRANDS	 899896104 	17,750
2012-02-02	ADVANCE_CAPITAL_I_INC	UNDER ARMOUR	 904311107 	8,400
2012-02-02	ADVANCE_CAPITAL_I_INC	WRIGHT EXPRESS	 98233Q105 	11,600
2012-02-02	ADVANCE_CAPITAL_I_INC	WESTERN UNION	 959802109 	31,600
2012-02-02	ADVANCE_CAPITAL_I_INC	WORLD FUEL SERVICES	 981475106 	20,350
2012-02-02	ADVANCE_CAPITAL_I_INC	Aaron's Inc	 002535300 	9,200
2012-02-02	ADVANCE_CAPITAL_I_INC	ACI Worldwide	 004498101 	3,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Advance Auto Parts Inc	 00751Y106 	8,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Adtran	 00738A106 	7,300
2012-02-02	ADVANCE_CAPITAL_I_INC	AECOM Technology Corp	 00766T100 	13,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Affiliated Managers Group Inc	 008252108 	6,100
2012-02-02	ADVANCE_CAPITAL_I_INC	AGCO Corp	 001084102 	11,300
2012-02-02	ADVANCE_CAPITAL_I_INC	AGL Resources Inc	 001204106 	9,200
2012-02-02	ADVANCE_CAPITAL_I_INC	Alaska Air Group Inc	 011659109 	4,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Albemarle Corp	 012653101 	10,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Alexandria Real Estate Equities Inc	 015271109 	7,300
2012-02-02	ADVANCE_CAPITAL_I_INC	Alliance Data Systems Corp	 018581108 	5,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Alliant Energy Corp	 018802108 	13,000
2012-02-02	ADVANCE_CAPITAL_I_INC	Alliant Techsystems Inc	 018804104 	3,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Allscripts Healthcare Solutions Inc	 01988P108 	21,900
2012-02-02	ADVANCE_CAPITAL_I_INC	AMC Networks Inc	 00164V103 	6,700
2012-02-02	ADVANCE_CAPITAL_I_INC	American Campus Communities Inc	 024835100 	8,100
2012-02-02	ADVANCE_CAPITAL_I_INC	American Eagle Outfitters Inc	 02553E106 	22,800
2012-02-02	ADVANCE_CAPITAL_I_INC	American Financial Group Inc/OH	 025932104 	9,200
2012-02-02	ADVANCE_CAPITAL_I_INC	AMETEK Inc	 031100100 	18,900
2012-02-02	ADVANCE_CAPITAL_I_INC	ANSYS Inc	 03662Q105 	10,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Aptargroup Inc	 038336103 	7,800
2012-02-02	ADVANCE_CAPITAL_I_INC	Aqua America Inc	 03836W103 	16,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Arch Coal Inc	 039380100 	24,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Arrow Electronics Inc	 042735100 	13,500
2012-02-02	ADVANCE_CAPITAL_I_INC	Arthur J Gallagher & Co	 363576109 	13,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Ashland Inc	 044209104 	9,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Atmel Corp	 049513104 	54,400
2012-02-02	ADVANCE_CAPITAL_I_INC	Avnet Inc	 053807103 	17,900
2012-02-02	ADVANCE_CAPITAL_I_INC	Bally Technology	 05874B107 	5,000
2012-02-02	ADVANCE_CAPITAL_I_INC	BE Aerospace Inc	 073302101 	12,100
2012-02-02	ADVANCE_CAPITAL_I_INC	Bill Barrett Corp	 06846N104 	5,300
2012-02-02	ADVANCE_CAPITAL_I_INC	BorgWarner Inc	 099724106 	12,800
2012-02-02	ADVANCE_CAPITAL_I_INC	BRE Properties Inc	 05564E106 	8,700
2012-02-02	ADVANCE_CAPITAL_I_INC	Brinker International	 109641100 	9,300
