issue_date	mutual_fund_name	name_of_issuer	cusip	number_of_shares
2013-05-01	ADVANCE_CAPITAL_I_INC	AARONS INC	002535300  	11,200
2013-05-01	ADVANCE_CAPITAL_I_INC	ADVANCE AUTO PARTS	00751Y106  	3,900
2013-05-01	ADVANCE_CAPITAL_I_INC	APPLE COMPUTER	037833100  	1,880
2013-05-01	ADVANCE_CAPITAL_I_INC	AMERISOURCE BERGEN	03073E105  	17,520
2013-05-01	ADVANCE_CAPITAL_I_INC	AMERICAN CAMPUS	024835100  	13,000
2013-05-01	ADVANCE_CAPITAL_I_INC	ACE Limited	H0023R105  	9,450
2013-05-01	ADVANCE_CAPITAL_I_INC	AECOM TECHNOLOGY	00766T100  	6,200
2013-05-01	ADVANCE_CAPITAL_I_INC	AUTOMATIC DATA PROCESSING, INC.	053015103  	6,740
2013-05-01	ADVANCE_CAPITAL_I_INC	ALLIANCE DATASYS	018581108  	5,600
2013-05-01	ADVANCE_CAPITAL_I_INC	AMERICAN EAGLE	02553E106  	18,100
2013-05-01	ADVANCE_CAPITAL_I_INC	AETNA INC.	00817Y108  	16,100
2013-05-01	ADVANCE_CAPITAL_I_INC	AMERICAN FIN. GRP.	025932104  	10,400
2013-05-01	ADVANCE_CAPITAL_I_INC	AGCO CO	001084102  	11,700
2013-05-01	ADVANCE_CAPITAL_I_INC	APOLLO INVESTMENT CO	03761U106  	19,800
2013-05-01	ADVANCE_CAPITAL_I_INC	ARTHUR GALLAGHER CO	363576109  	12,200
2013-05-01	ADVANCE_CAPITAL_I_INC	ALBEMARLE CORP	012653101  	8,700
2013-05-01	ADVANCE_CAPITAL_I_INC	ALASKA AIR GROUP	011659109  	8,100
2013-05-01	ADVANCE_CAPITAL_I_INC	ALLSTATE CORP	020002101  	17,150
2013-05-01	ADVANCE_CAPITAL_I_INC	AMC NETWORKS INC	00164V103  	3,500
2013-05-01	ADVANCE_CAPITAL_I_INC	AMETEK INC	031100100  	20,600
2013-05-01	ADVANCE_CAPITAL_I_INC	AFFILIATED MANAGERSGROUP	008252108  	5,000
2013-05-01	ADVANCE_CAPITAL_I_INC	AMGEN, INC.*	031162100  	14,530
2013-05-01	ADVANCE_CAPITAL_I_INC	ANSYS INC.	03662Q105  	7,400
2013-05-01	ADVANCE_CAPITAL_I_INC	APACHE CORPORATION	037411105  	16,000
2013-05-01	ADVANCE_CAPITAL_I_INC	ALEXANDRIA REAL EST	015271109  	6,200
2013-05-01	ADVANCE_CAPITAL_I_INC	ARROW ELECTRONIC	042735100  	10,400
2013-05-01	ADVANCE_CAPITAL_I_INC	ASSOCIATED BANC-CORP	045487105  	17,600
2013-05-01	ADVANCE_CAPITAL_I_INC	ASHLAND INC.	044209104  	7,100
2013-05-01	ADVANCE_CAPITAL_I_INC	ASCENA RETAIL GROUP	04351G101  	67,000
2013-05-01	ADVANCE_CAPITAL_I_INC	ATMEL CORPORATION	049513104  	42,800
2013-05-01	ADVANCE_CAPITAL_I_INC	APTAR GROUP INC.	038336103  	6,400
2013-05-01	ADVANCE_CAPITAL_I_INC	ATWOOD OCEANICS INC	050095108  	5,600
2013-05-01	ADVANCE_CAPITAL_I_INC	AVNET INC	053807103  	13,400
2013-05-01	ADVANCE_CAPITAL_I_INC	AMERICAN EXPRESS COMPANY	025816109  	12,500
2013-05-01	ADVANCE_CAPITAL_I_INC	BED BATH & BEYOND, INC.*	075896100  	16,000
2013-05-01	ADVANCE_CAPITAL_I_INC	BE AEROSPACE INC	073302101  	10,100
2013-05-01	ADVANCE_CAPITAL_I_INC	FRANKLIN RESOURCES,INC.	354613101  	5,920
2013-05-01	ADVANCE_CAPITAL_I_INC	BAKER HUGHES INC.	057224107  	26,270
